"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"MADERA","Total","      57.067607","      56.740399","      54.737692","      54.384331","      51.663591","      48.233392","      46.933268","      45.519564","      45.195539","      42.876822","      43.972141","      53.223896","      53.417165","      65.277298","      58.382674","      69.971094","      53.654310","      70.159494","     104.405873","      56.580028","      60.061635","      58.885747","      53.689860","      44.235989","      47.097890","      48.498436","      48.481854","      47.957120","      54.002020","      43.627094","    1638.933823"
"MARIN","Total","      70.290539","      68.535263","      70.291466","      66.310725","      63.219034","      62.853068","      76.488525","      75.482362","      80.914595","      79.426026","      79.003518","      79.680408","      76.713770","      77.451316","      75.871956","      80.345796","      77.303908","      78.229411","      72.998544","      91.860536","      96.237798","      90.314215","      76.953872","      80.023689","      81.221895","      86.433384","      84.488933","      77.461569","      85.443714","      83.988998","    2345.838833"
"MARIPOSA","Total","","","       0.001117","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MENDOCINO","Total","      10.380061","      10.264033","      10.560536","       9.585611","       8.973343","       8.910597","      10.405615","      10.484178","      10.945941","      10.609181","      10.342583","      10.752279","      10.831883","      11.228154","      12.138252","      12.606823","      11.609377","      12.526430","      13.734827","      17.108636","      19.694865","      18.126958","      20.097677","      23.530249","      25.712262","      21.102276","      19.995353","      16.678933","      14.924558","      14.658439","     418.519910"
"MERCED","Total","     120.161538","     120.304543","     117.577700","     119.534151","     127.289527","     126.655821","     123.819031","     124.608823","     123.511371","     116.294955","     121.251966","     113.476794","     122.092646","     137.795281","     120.058255","     153.303920","     119.444372","     103.255541","     110.646489","      98.023783","     108.893424","      90.426175","      85.756854","      87.346966","      81.039488","      89.059526","      70.104106","      74.327298","      81.139696","      67.208978","    3254.409018"
"MONTEREY","Total","     114.999082","     112.179400","     110.314459","     104.755157","     103.135504","     101.990628","     114.984972","     111.404143","     112.287385","     108.745097","     108.213582","     112.053558","     111.953658","     110.635827","     111.223412","     117.267938","     108.571997","     112.045129","     109.561979","     127.316101","     142.256377","     132.800380","     127.975216","     123.552184","     118.065969","     131.233211","     135.237401","     136.413261","     159.107545","     148.278440","    3578.558992"
"NAPA","Total","      39.727600","      39.400470","      38.928970","      36.483510","      34.687451","      34.974955","      41.122307","      40.601093","      42.095540","      39.994354","      39.495100","      38.887325","      39.141385","      40.142706","      39.407422","      42.720567","      39.313645","      42.330157","      41.417870","      42.447548","      43.851673","      44.330475","      37.459344","      34.257474","      33.374644","      37.811737","      37.591994","      36.401340","      39.068967","      38.851725","    1176.319348"
"NEVADA","Total","      21.323491","      18.844219","      20.515696","      18.786564","      17.151831","      16.647758","      19.249014","      18.080170","      20.092518","      18.911075","      19.005168","      19.744782","      17.261732","       9.192175","       9.088803","       9.479110","       9.051179","       9.240731","       8.679033","       9.237375","       9.562238","       9.770363","       7.871507","       7.314956","       7.176768","       7.945362","       7.686082","       6.441661","       6.932022","       6.187822","     386.471205"
"ORANGE","Total","     623.146364","     575.104429","     576.023027","     570.050497","     544.469573","     544.733080","     636.285140","     612.689849","     639.576224","     635.703057","     611.241370","     632.932591","     646.789237","     636.155986","     630.153721","     661.978878","     626.758841","     655.611816","     658.622802","     674.878586","     736.420979","     698.203941","     615.292353","     629.830372","     612.411007","     639.821561","     626.710425","     617.129610","     645.043953","     644.720284","   18858.489553"
"PLACER","Total","      95.925218","      90.931343","      92.234611","      84.063233","      78.771113","      75.718565","      90.223363","      87.212580","      94.426291","      91.547547","      90.891438","      91.066474","     107.585416","     114.934289","     105.778925","     109.640590","     102.150275","     108.242847","     112.456798","      95.238801","      70.052940","      66.189900","      55.999419","      50.836356","      47.296722","      58.323119","      58.242742","      50.232916","      54.218288","      53.203400","    2483.635519"
