"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"KERN","Total","   17105.082388","   15917.370504","   18492.584857","   16547.827730","   15182.337775","   14324.444126","   15059.296449","   16704.053074","   15951.969271","   14954.551481","   14439.128773","   15419.602673","   17215.106241","   16421.958760","   14916.194972","   16495.488805","   14885.492362","   14229.912491","   12658.378481","   11434.672773","   11361.408164","    9418.476935","   11386.146230","   10638.055512","    9285.239119","   10876.675518","    9895.688581","   10621.615771","   10452.648749","   13460.952418","  415752.360983"
"KINGS","Total","    1583.071346","    1758.379152","    1497.847435","    1779.141257","    1773.649744","    1817.107504","    1784.791084","    1680.479236","    1422.799445","    1452.384585","    1585.030826","    1495.498142","    1423.406966","    1387.330655","    1314.917319","    1335.206004","    1077.455349","     980.535543","     924.456742","     934.603122","     967.748574","     939.741860","     996.958456","     952.152085","     905.684092","    1010.399181","     889.862575","    1021.893769","    1016.785601","     963.410751","   38672.728400"
"LAKE","Total","     446.071293","     441.622882","     463.870207","     440.621439","     430.631082","     441.316087","     470.098155","     466.463493","     459.347134","     454.375817","     453.037397","     455.577802","     444.800208","     653.142424","     624.183470","     543.899012","     535.752594","     462.492141","     446.782959","     423.554752","     417.100028","     395.089005","     370.630548","     397.753063","     462.820692","     465.929322","     458.779355","     466.223519","     473.187296","     451.803569","   13916.956745"
"LASSEN","Total","     403.756483","     410.985705","     385.690994","     457.205948","     400.587830","     431.865035","     425.944273","     410.121129","     401.524090","     385.956312","     392.321631","     264.584489","     253.153665","     290.550057","     289.943184","     291.569300","     261.517791","     256.551216","     256.427317","     238.815043","     235.487998","     225.871446","     226.676276","     224.510254","     196.906744","     210.172361","     149.056168","     149.940696","     193.685996","     183.957040","    8905.336471"
"LOS ANGELES","Total","   66118.673005","   67907.482625","   68656.720182","   69414.044656","   69532.293389","   69953.419146","   68373.298413","   69271.361452","   68197.372696","   68258.067921","   69949.597902","   72081.873973","   71255.474053","   70934.458664","   69990.470459","   69212.935406","   68517.537066","   67714.990342","   69741.376391","   69443.822206","   66713.307615","   65706.387719","   65864.262539","   64180.750483","   62466.055489","   62781.683672","   62200.732776","   63273.867573","   62714.840951","   64747.794976"," 2025174.953740"
"MADERA","Total","    1568.007913","    1649.620899","    1588.062426","    1586.448712","    1697.617488","    1664.082995","    1577.583477","    1530.455206","    1387.325985","    1378.870284","    1435.413351","    1420.044274","    1371.613429","    1189.872704","    1150.480563","    1189.912800","    1094.253097","    1129.091905","    1106.335775","    1110.500699","    1121.653102","    1017.214588","    1070.991890","    1036.888114","     974.240043","    1024.505025","     959.095491","     974.421567","     917.315425","     893.909102","   37815.828329"
"MARIN","Total","    1355.342745","    1328.249462","    1383.982879","    1342.378889","    1354.453920","    1355.224757","    1396.080706","    1391.100106","    1408.231541","    1424.870751","    1460.316415","    1464.529068","    1445.935515","    1427.094316","    1403.421251","    1428.345243","    1384.508339","    1423.554936","    1371.918706","    1490.422611","    1444.559752","    1393.779685","    1388.555466","    1344.727434","    1319.742016","    1303.195933","    1314.249848","    1282.774063","    1250.717511","    1261.042838","   41343.306702"
"MARIPOSA","Total","     109.731056","     112.753964","     111.427108","     107.670394","     106.605056","     109.720938","     113.195728","     112.962317","     110.922487","     112.182580","     120.021459","     131.045787","     127.474208","     108.304872","     103.430985","     106.101431","     104.976140","     104.653104","     104.655886","     107.152697","     124.093725","     123.615414","     119.065193","     118.159721","     114.286160","     113.833048","     105.532888","     107.894014","     111.047330","     102.622092","    3365.137782"
"MENDOCINO","Total","     562.262881","     564.444775","     584.998686","     578.074458","     566.878519","     564.044566","     593.192566","     601.738555","     603.312349","     600.245673","     601.804758","     617.117750","     613.796806","     710.871504","     701.691839","     572.112429","     544.824290","     559.908641","     565.230634","     637.469024","     627.461988","     577.669781","     610.440550","     596.321226","     560.420063","     570.663732","     577.547572","     565.766058","     560.856163","     585.547341","   17776.715177"
"MERCED","Total","    3698.606433","    3551.340810","    3966.078805","    3462.871390","    2920.429811","    3020.012617","    3056.884656","    3304.342064","    3657.275088","    3395.802472","    2742.405904","    2724.744611","    3667.950337","    2808.604043","    2896.228903","    3082.798812","    2857.332839","    2951.063953","    2805.199667","    2882.630506","    3256.067040","    2411.321078","    2749.685901","    2761.883357","    2558.348443","    2156.450267","    2802.691459","    2143.611901","    2040.361245","    2337.072494","   88670.096906"
